iter	Passed	Remaining
623	9385	5655
624	9398	5639
625	9414	5624
626	9430	5609
627	9450	5598
628	9465	5582
629	9480	5567
630	9494	5552
631	9509	5537
632	9524	5522
633	9541	5508
634	9555	5492
635	9570	5477
636	9589	5464
637	9602	5448
638	9618	5433
639	9631	5417
640	9647	5403
641	9662	5388
642	9676	5372
643	9691	5357
644	9706	5342
645	9729	5331
646	9744	5316
647	9762	5303
648	9778	5288
649	9794	5274
650	9809	5258
651	9825	5244
652	9842	5229
653	9864	5218
654	9878	5203
655	9894	5188
656	9911	5174
657	9927	5159
658	9942	5144
659	9959	5130
660	9972	5114
661	9995	5103
662	10011	5088
663	10029	5075
664	10045	5060
665	10060	5045
666	10077	5031
667	10091	5015
668	10107	5000
669	10131	4990
670	10147	4975
671	10160	4959
672	10174	4943
673	10188	4927
674	10203	4913
675	10219	4898
676	10235	4883
677	10258	4871
678	10274	4857
679	10289	4841
680	10303	4826
681	10318	4811
682	10335	4796
683	10346	4779
684	10360	4764
685	10373	4748
686	10388	4733
687	10402	4717
688	10418	4702
689	10444	4692
690	10462	4678
691	10480	4664
692	10497	4650
693	10520	4638
694	10536	4623
695	10557	4611
696	10575	4597
697	10588	4581
698	10603	4565
699	10618	4550
700	10631	4534
701	10644	4518
702	10660	4503
703	10674	4488
704	10689	4472
705	10706	4458
706	10726	4445
707	10742	4430
708	10755	4414
709	10768	4398
710	10786	4384
711	10801	4369
712	10814	4353
713	10831	4338
714	10854	4326
715	10872	4312
716	10888	4297
717	10901	4281
718	10918	4267
719	10935	4252
720	10950	4237
721	10967	4222
722	10988	4210
723	11004	4195
724	11021	4180
725	11036	4165
726	11051	4150
727	11065	4134
728	11081	4119
729	11097	4104
730	11120	4092
731	11138	4077
732	11154	4062
733	11168	4047
734	11181	4031
735	11195	4015
736	11210	4000
737	11233	3988
738	11249	3973
739	11262	3956
740	11276	3941
741	11290	3925
742	11304	3910
743	11319	3895
744	11335	3879
745	11350	3864
746	11367	3850
747	11391	3837
748	11412	3824
749	11429	3809
750	11443	3794
751	11458	3778
752	11474	3763
753	11490	3748
754	11506	3733
755	11520	3718
756	11536	3703
757	11557	3689
758	11575	3675
759	11590	3660
760	11605	3644
761	11620	3629
762	11634	3613
763	11651	3599
764	11667	3584
765	11680	3568
766	11697	3553
767	11719	3540
768	11736	3525
769	11751	3510
770	11767	3495
771	11780	3479
772	11796	3464
773	11810	3448
774	11827	3433
775	11848	3420
776	11864	3405
777	11876	3388
778	11891	3373
779	11906	3358
780	11920	3342
781	11936	3327
782	11952	3312
783	11968	3297
784	11986	3282
785	12007	3269
786	12022	3253
787	12037	3238
788	12054	3223
789	12068	3208
790	12085	3193
791	12102	3178
792	12127	3165
793	12141	3150
794	12156	3134
795	12169	3118
796	12182	3102
797	12195	3087
798	12211	3072
799	12227	3056
800	12241	3041
801	12257	3026
802	12278	3012
803	12296	2997
804	12312	2982
805	12329	2967
806	12345	2952
807	12364	2938
808	12379	2922
809	12400	2908
810	12418	2894
811	12434	2879
812	12451	2863
813	12468	2849
814	12484	2833
815	12500	2818
816	12515	2803
817	12529	2787
818	12541	2771
819	12557	2756
820	12573	2741
821	12589	2726
822	12611	2712
823	12628	2697
824	12643	2682
825	12660	2666
826	12673	2651
827	12689	2636
828	12704	2620
829	12719	2605
830	12732	2589
831	12744	2573
832	12759	2557
833	12774	2542
834	12791	2527
835	12808	2512
836	12824	2497
837	12837	2481
838	12852	2466
839	12866	2450
840	12881	2435
841	12894	2419
842	12910	2404
843	12927	2389
844	12948	2375
845	12963	2359
846	12981	2344
847	12995	2329
848	13011	2314
849	13027	2298
850	13044	2283
851	13060	2268
852	13082	2254
853	13100	2239
854	13115	2224
855	13132	2209
856	13148	2194
857	13163	2178
858	13177	2163
859	13189	2147
860	13200	2131
861	13215	2115
862	13230	2100
863	13241	2084
864	13254	2068
865	13266	2052
866	13279	2037
867	13290	2021
868	13305	2005
869	13319	1990
870	13333	1974
871	13344	1958
872	13358	1943
873	13371	1927
874	13382	1911
875	13398	1896
876	13413	1881
877	13429	1866
878	13440	1850
879	13454	1834
880	13467	1819
881	13484	1803
882	13500	1788
883	13516	1773
884	13529	1758
885	13543	1742
886	13557	1727
887	13573	1711
888	13583	1696
889	13597	1680
890	13612	1665
891	13627	1649
892	13642	1634
893	13656	1619
894	13669	1603
895	13682	1588
896	13696	1572
897	13710	1557
898	13724	1541
899	13740	1526
900	13753	1511
901	13782	1497
902	13795	1481
903	13810	1466
904	13825	1451
905	13841	1436
906	13855	1420
907	13870	1405
908	13884	1389
909	13898	1374
910	13912	1359
911	13925	1343
912	13938	1328
913	13950	1312
914	13963	1297
915	13980	1282
916	13994	1266
917	14008	1251
918	14022	1235
919	14034	1220
920	14046	1204
921	14059	1189
922	14073	1174
923	14085	1158
924	14098	1143
925	14113	1127
926	14129	1112
927	14143	1097
928	14155	1081
929	14169	1066
930	14182	1051
931	14197	1035
932	14209	1020
933	14221	1004
934	14236	989
935	14250	974
936	14266	959
937	14280	943
938	14294	928
939	14307	913
940	14319	897
941	14332	882
942	14346	867
943	14357	851
944	14371	836
945	14388	821
946	14404	806
947	14416	790
948	14427	775
949	14440	760
950	14454	744
951	14465	729
952	14479	714
953	14493	698
954	14513	683
955	14528	668
956	14543	653
957	14555	638
958	14571	622
959	14586	607
960	14601	592
961	14615	577
962	14630	562
963	14644	546
964	14659	531
